"CONSTRAINT_ID","TYPE","WHAT","CONDITION","LB","UB","ONOFF"
1,Number,Item,,16,16,NA
2,Number,Item,"ITEM_TYPE == ""Polytomous""",4,4,NA
3,Number,Item,"STANDARD == ""MA 4.1.1.a"" & DOK %in% c(1, 2)",0,1,NA
4,Number,Item,"STANDARD == ""MA 4.1.1.c"" & DOK %in% c(1, 1)",0,1,NA
5,Number,Item,"STANDARD == ""MA 4.1.1.d"" & DOK %in% c(1, 1)",0,1,NA
6,Number,Item,"STANDARD == ""MA 4.1.1.e"" & DOK %in% c(1, 1)",0,1,NA
7,Number,Item,"STANDARD == ""MA 4.1.1.f"" & DOK %in% c(1, 1)",0,1,NA
8,Number,Item,"STANDARD == ""MA 4.1.1.g"" & DOK %in% c(1, 1)",0,1,NA
9,Number,Item,"STANDARD == ""MA 4.1.1.h"" & DOK %in% c(1, 1)",1,1,NA
10,Number,Item,"STANDARD == ""MA 4.1.1.k"" & DOK %in% c(1, 2)",0,1,NA
11,Number,Item,"DOMAIN == ""NR""",3,4,NA
12,Number,Item,"STANDARD == ""MA 4.1.2.b"" & DOK %in% c(1, 1)",0,1,NA
13,Number,Item,"STANDARD == ""MA 4.1.2.c"" & DOK %in% c(1, 1)",0,1,NA
14,Number,Item,"STANDARD == ""MA 4.1.2.d"" & DOK %in% c(1, 1)",0,1,NA
15,Number,Item,"STANDARD == ""MA 4.1.2.f"" & DOK %in% c(1, 1)",0,1,NA
16,Number,Item,"STANDARD == ""MA 4.1.2.g"" & DOK %in% c(1, 1)",0,1,NA
17,Number,Item,"DOMAIN == ""NO""",3,4,NA
18,Number,Item,"UDOMAIN == ""NUM""",7,7,NA
19,Number,Item,"UDOMAIN == ""NUM"" & ITEM_TYPE == ""Polytomous""",1,7,NA
20,Number,Item,"STANDARD == ""MA 4.2.1.a"" & DOK %in% c(1, 2)",0,1,NA
21,Number,Item,"DOMAIN == ""AR""",0,1,NA
22,Number,Item,"STANDARD == ""MA 4.2.2.a"" & DOK %in% c(1, 2)",1,2,NA
23,Number,Item,"DOMAIN == ""AP""",1,2,NA
24,Number,Item,"STANDARD == ""MA 4.2.3.a"" & DOK %in% c(2, 2)",0,1,NA
25,Number,Item,"STANDARD == ""MA 4.2.3.b"" & DOK %in% c(2, 2)",0,2,NA
26,Number,Item,"DOMAIN == ""AA""",1,2,NA
27,Number,Item,"UDOMAIN == ""ALG""",4,4,NA
28,Number,Item,"UDOMAIN == ""ALG"" & ITEM_TYPE == ""Polytomous""",1,4,NA
29,Number,Item,"STANDARD == ""MA 4.3.1.b"" & DOK %in% c(1, 2)",0,1,NA
30,Number,Item,"STANDARD == ""MA 4.3.1.c"" & DOK %in% c(1, 2)",0,1,NA
31,Number,Item,"STANDARD == ""MA 4.3.1.d"" & DOK %in% c(2, 3)",0,1,NA
32,Number,Item,"STANDARD == ""MA 4.3.1.e"" & DOK %in% c(1, 2)",0,1,NA
33,Number,Item,"STANDARD == ""MA 4.3.1.f"" & DOK %in% c(1, 2)",0,1,NA
34,Number,Item,"STANDARD == ""MA 4.3.1.g"" & DOK %in% c(1, 2)",0,1,NA
35,Number,Item,"STANDARD == ""MA 4.3.1.h"" & DOK %in% c(1, 2)",0,1,NA
36,Number,Item,"DOMAIN == ""GC""",2,2,NA
37,Number,Item,"STANDARD == ""MA 4.3.3.a"" & DOK %in% c(1, 2)",0,1,NA
38,Number,Item,"STANDARD == ""MA 4.3.3.c"" & DOK %in% c(1, 1)",0,1,NA
39,Number,Item,"DOMAIN == ""GM""",1,1,NA
40,Number,Item,"UDOMAIN == ""GEO""",3,3,NA
41,Number,Item,"UDOMAIN == ""GEO"" & ITEM_TYPE == ""Polytomous""",1,3,NA
42,Number,Item,"STANDARD == ""MA 4.4.1.a"" & DOK %in% c(2, 2)",0,2,NA
43,Number,Item,"DOMAIN == ""DR""",1,2,NA
44,Number,Item,"STANDARD == ""MA 4.4.2.a"" & DOK %in% c(2, 2)",0,2,NA
45,Number,Item,"DOMAIN == ""DA""",1,2,NA
46,Number,Item,"UDOMAIN == ""DTA""",2,2,NA
47,Number,Item,"UDOMAIN == ""DTA"" & ITEM_TYPE == ""Polytomous""",1,2,NA
48,SUM,Item,POINTS,20,21,NA
