"ID","STANDARD","ITEM_TYPE","DOK","DOMAIN","UDOMAIN","POINTS"
"MA33970863","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA384028727","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA33462542","MA 3.1.1.a","Polytomous",1,"NR","NUM",2
"MA328819527","MA 3.1.1.a","Polytomous",1,"NR","NUM",2
"MA311070406","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA340593789","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA333905630","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA361806874","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA342909637","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA376193202","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA356916886","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA317376281","MA 3.1.1.a","Polytomous",2,"NR","NUM",2
"MA344893279","MA 3.1.1.a","Polytomous",1,"NR","NUM",2
"MA335381843","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA31313777","MA 3.1.1.a","Polytomous",1,"NR","NUM",2
"MA317755163","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA38525738","MA 3.1.1.a","Polytomous",1,"NR","NUM",2
"MA333294543","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA32692223","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA34451324","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA351711047","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA348999658","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA361480021","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA318239853","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA324040854","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA317787159","MA 3.1.1.a","Dichotomous",1,"NR","NUM",1
"MA376531847","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA333888468","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA338868677","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA365889849","MA 3.1.1.a","Dichotomous",2,"NR","NUM",1
"MA333128368","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA311448876","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA330149139","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA327203911","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA377807539","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA364041876","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA374196424","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA39389562","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA34108015","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA358997683","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA352390697","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA32326115","MA 3.1.1.b","Dichotomous",1,"NR","NUM",1
"MA374964369","MA 3.1.1.b","Polytomous",1,"NR","NUM",2
"MA361188603","MA 3.1.1.b","Polytomous",1,"NR","NUM",2
"MA360109835","MA 3.1.1.b","Polytomous",1,"NR","NUM",2
"MA3284463","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA382144588","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA351246313","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA388799110","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA314026980","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA348009634","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA370346655","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA374371562","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA342086155","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA36388465","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA353376059","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA338892779","MA 3.1.1.c","Dichotomous",1,"NR","NUM",1
"MA34823186","MA 3.1.1.c","Polytomous",1,"NR","NUM",2
"MA310003093","MA 3.1.1.c","Polytomous",1,"NR","NUM",2
"MA383390965","MA 3.1.1.c","Polytomous",1,"NR","NUM",2
"MA318669427","MA 3.1.1.d","Dichotomous",1,"NR","NUM",1
"MA351384717","MA 3.1.1.d","Dichotomous",1,"NR","NUM",1
"MA381673832","MA 3.1.1.d","Polytomous",2,"NR","NUM",2
"MA359818803","MA 3.1.1.d","Dichotomous",1,"NR","NUM",1
"MA312704507","MA 3.1.1.d","Dichotomous",2,"NR","NUM",1
"MA335483271","MA 3.1.1.d","Dichotomous",1,"NR","NUM",1
"MA341211919","MA 3.1.1.d","Dichotomous",2,"NR","NUM",1
"MA347439500","MA 3.1.1.d","Polytomous",1,"NR","NUM",2
"MA315008600","MA 3.1.1.d","Dichotomous",2,"NR","NUM",1
"MA335007978","MA 3.1.1.d","Dichotomous",1,"NR","NUM",1
"MA397527867","MA 3.1.1.d","Dichotomous",2,"NR","NUM",1
"MA383303899","MA 3.1.1.d","Dichotomous",2,"NR","NUM",1
"MA360978316","MA 3.1.1.d","Dichotomous",1,"NR","NUM",1
