"Grade","Phase","Module","Constraints","ItemPool","ItemAttrib","PassageAttrib"
"G3","P1","ModuleMATH3P1N","extdata/constraints_MATH3_P1.csv","extdata/pool_MATH_normal_N500_Grade03.csv","extdata/item_attrib_MATH_normal_N500_Grade03.csv",NA
"G3","P2","ModuleMATH3P2N","extdata/constraints_MATH3_P2.csv","extdata/pool_MATH_normal_N500_Grade03.csv","extdata/item_attrib_MATH_normal_N500_Grade03.csv",NA
"G4","P1","ModuleMATH4P1N","extdata/constraints_MATH4_P1.csv","extdata/pool_MATH_normal_N500_Grade04.csv","extdata/item_attrib_MATH_normal_N500_Grade04.csv",NA
"G4","P2","ModuleMATH4P2N","extdata/constraints_MATH4_P2.csv","extdata/pool_MATH_normal_N500_Grade04.csv","extdata/item_attrib_MATH_normal_N500_Grade04.csv",NA
"G5","P1","ModuleMATH5P1N","extdata/constraints_MATH5_P1.csv","extdata/pool_MATH_normal_N500_Grade05.csv","extdata/item_attrib_MATH_normal_N500_Grade05.csv",NA
"G5","P2","ModuleMATH5P2N","extdata/constraints_MATH5_P2.csv","extdata/pool_MATH_normal_N500_Grade05.csv","extdata/item_attrib_MATH_normal_N500_Grade05.csv",NA
"G6","P1","ModuleMATH6P1N","extdata/constraints_MATH6_P1.csv","extdata/pool_MATH_normal_N500_Grade06.csv","extdata/item_attrib_MATH_normal_N500_Grade06.csv",NA
"G6","P2","ModuleMATH6P2N","extdata/constraints_MATH6_P2.csv","extdata/pool_MATH_normal_N500_Grade06.csv","extdata/item_attrib_MATH_normal_N500_Grade06.csv",NA
"G7","P1","ModuleMATH7P1N","extdata/constraints_MATH7_P1.csv","extdata/pool_MATH_normal_N500_Grade07.csv","extdata/item_attrib_MATH_normal_N500_Grade07.csv",NA
"G7","P2","ModuleMATH7P2N","extdata/constraints_MATH7_P2.csv","extdata/pool_MATH_normal_N500_Grade07.csv","extdata/item_attrib_MATH_normal_N500_Grade07.csv",NA
"G8","P1","ModuleMATH8P1N","extdata/constraints_MATH8_P1.csv","extdata/pool_MATH_normal_N500_Grade08.csv","extdata/item_attrib_MATH_normal_N500_Grade08.csv",NA
"G8","P2","ModuleMATH8P2N","extdata/constraints_MATH8_P2.csv","extdata/pool_MATH_normal_N500_Grade08.csv","extdata/item_attrib_MATH_normal_N500_Grade08.csv",NA
