"ID","MODEL","PAR1","PAR2"
"MA63189930","1PL",-0.329,NA
"MA688337302","PC",-0.38,0.106
"MA640766197","1PL",0.363,NA
"MA689516997","1PL",0.476,NA
"MA634195854","1PL",0.51,NA
"MA666413455","1PL",0.552,NA
"MA649270071","PC",0.497,1.189
"MA654796518","1PL",0.921,NA
"MA668049011","1PL",0.947,NA
"MA683014076","1PL",1.014,NA
"MA625983255","1PL",1.163,NA
"MA661595677","1PL",1.272,NA
"MA624332848","1PL",1.28,NA
"MA675732920","1PL",1.376,NA
"MA667483949","1PL",1.79,NA
"MA628164283","PC",1.711,2.441
"MA612213068","1PL",1.024,NA
"MA658865996","1PL",0.48,NA
"MA646710214","1PL",1.543,NA
"MA642863969","1PL",1.183,NA
"MA64507894","1PL",1.41,NA
"MA656900208","1PL",2.92,NA
"MA638646109","1PL",-0.897,NA
"MA696575821","1PL",2.67,NA
"MA657430146","1PL",-1.16,NA
"MA696364994","1PL",-0.25,NA
"MA637655785","1PL",1.036,NA
"MA62062765","1PL",1.153,NA
"MA63100503","PC",-1.545,-0.697
"MA622826704","PC",0.885,1.715
"MA649281889","PC",0.517,1.089
"MA673412628","1PL",-2.518,NA
"MA620860742","1PL",-1.57,NA
"MA676403500","PC",-1.057,-0.787
"MA692646048","PC",-1.203,-0.589
"MA626918092","1PL",0.006,NA
"MA646998004","1PL",0.259,NA
"MA637728085","1PL",0.384,NA
"MA627381874","1PL",0.763,NA
"MA651855117","PC",0.657,0.883
"MA629905602","1PL",0.878,NA
"MA659914571","1PL",0.93,NA
"MA696691811","1PL",0.98,NA
"MA633693180","1PL",1.062,NA
"MA693152070","1PL",1.171,NA
"MA694673227","1PL",1.51,NA
"MA637818846","1PL",1.717,NA
"MA657299355","1PL",-1.06,NA
"MA693092061","1PL",-0.924,NA
"MA673335563","1PL",-0.632,NA
"MA622226159","1PL",-0.211,NA
"MA656311623","PC",-0.265,0.579
"MA648265205","1PL",0.174,NA
"MA672704315","PC",-0.13,0.528
"MA633550205","1PL",0.287,NA
"MA668599726","1PL",0.323,NA
"MA632552644","1PL",0.464,NA
"MA666003894","1PL",0.679,NA
"MA664402334","PC",0.807,1.405
"MA694478893","1PL",1.4,NA
"MA688966153","1PL",2.591,NA
"MA650327829","1PL",2.774,NA
"MA641989819","1PL",3.381,NA
"MA614432581","1PL",1.542,NA
"MA634466345","1PL",0.308,NA
"MA631045689","1PL",0.259,NA
"MA636490255","1PL",0.926,NA
"MA632615800","1PL",1.425,NA
"MA639851757","1PL",2.894,NA
"MA647750128","1PL",0.345,NA
"MA691956275","1PL",1.618,NA
"MA634447289","1PL",-0.355,NA
"MA690113744","1PL",-1.268,NA
"MA690912704","1PL",-1.04,NA
"MA636630278","1PL",-0.068,NA
"MA644684056","PC",-0.065,0.445
"MA672183620","PC",-0.1,0.55
"MA66566679","PC",-0.549,-0.229
"MA672901162","1PL",-1.143,NA
"MA655980445","1PL",-0.71,NA
"MA654361782","1PL",-0.633,NA
"MA619992058","PC",-0.339,0.491
"MA645423275","1PL",0.172,NA
"MA616853887","1PL",0.541,NA
"MA64209644","1PL",0.739,NA
"MA613835869","PC",0.637,1.159
"MA64950532","1PL",1.335,NA
"MA653796609","1PL",1.385,NA
"MA611153629","1PL",1.388,NA
"MA686981777","PC",1.547,2.261
"MA657072663","1PL",2.084,NA
"MA660149558","1PL",2.523,NA
"MA689729536","1PL",2.592,NA
"MA664478815","1PL",-0.381,NA
"MA687334990","1PL",1.341,NA
"MA674971047","1PL",1.361,NA
"MA648661143","1PL",-0.247,NA
"MA616739130","1PL",0.662,NA
"MA682723021","1PL",1.583,NA
"MA682586930","1PL",0.055,NA
"MA616294433","1PL",0.289,NA
"MA610771434","PC",0.707,1.361
"MA652054135","PC",1.176,1.724
"MA684560074","1PL",-1.836,NA
"MA659339269","1PL",-0.784,NA
"MA663486886","1PL",1.124,NA
"MA614948043","1PL",1.255,NA
"MA644184056","1PL",-0.481,NA
"MA613535707","1PL",1.302,NA
"MA667975164","1PL",-0.151,NA
"MA68105906","1PL",-0.472,NA
"MA657303435","1PL",-0.379,NA
"MA693292716","1PL",-0.306,NA
"MA666162542","1PL",0.345,NA
"MA629373308","1PL",0.473,NA
"MA688115265","PC",-0.538,0.098
"MA61606734","PC",-0.414,-0.162
"MA686107515","PC",-0.143,0.391
"MA667433052","1PL",-0.83,NA
"MA631983998","1PL",-1.086,NA
"MA645106354","1PL",-0.751,NA
"MA659733378","1PL",0.302,NA
"MA66726351","1PL",-1.161,NA
"MA636368102","1PL",-0.651,NA
"MA613782244","1PL",-0.992,NA
"MA678654548","1PL",-0.342,NA
"MA665124886","1PL",-0.387,NA
"MA641075344","1PL",0.33,NA
"MA616395687","1PL",-0.304,NA
"MA687914984","1PL",0.802,NA
"MA685931136","PC",0.407,1.191
"MA633660860","PC",0.925,1.711
"MA616804597","PC",0.153,0.801
"MA613697701","1PL",2.456,NA
"MA615909438","1PL",0.6,NA
"MA659218076","1PL",0.38,NA
"MA699977628","1PL",1.275,NA
"MA624337528","1PL",-0.146,NA
"MA663897741","1PL",-1.045,NA
"MA620241419","1PL",-0.494,NA
"MA676407229","1PL",0.14,NA
"MA610729407","1PL",-0.041,NA
"MA630722014","1PL",1.218,NA
"MA625715865","1PL",-0.13,NA
"MA611556794","1PL",0.779,NA
"MA679446467","PC",-1.457,-0.715
"MA661818327","PC",1.625,2.421
"MA611984940","PC",1.205,1.819
"MA627022741","1PL",2.429,NA
"MA651329111","1PL",-0.436,NA
"MA667945972","1PL",0.174,NA
"MA658001798","1PL",-0.097,NA
"MA691473370","1PL",0.169,NA
"MA634835375","1PL",0.271,NA
"MA693945029","1PL",1.782,NA
"MA676359129","1PL",-0.489,NA
"MA672045271","1PL",-0.062,NA
"MA637414356","1PL",1.04,NA
"MA646654744","1PL",0.216,NA
"MA67283069","1PL",-1.43,NA
"MA692620948","PC",-0.021,0.811
"MA653819817","PC",-0.426,0.386
"MA669016089","PC",-1.016,-0.8
"MA610875675","1PL",-1.572,NA
"MA655240529","1PL",-1.019,NA
"MA634768464","1PL",-0.886,NA
"MA69466610","1PL",-0.796,NA
"MA65909398","1PL",-0.672,NA
"MA699705778","1PL",0.428,NA
"MA613193976","1PL",0.457,NA
"MA660580561","PC",0.27,0.868
"MA631250146","1PL",0.589,NA
"MA616262009","1PL",0.694,NA
"MA612996269","PC",0.695,1.117
"MA695756847","1PL",0.915,NA
"MA691037973","1PL",1.231,NA
"MA687801626","PC",1.691,2.111
"MA666344413","1PL",2.158,NA
"MA675998880","1PL",-0.419,NA
"MA636188222","1PL",0.417,NA
"MA657730877","1PL",0.174,NA
"MA627416397","1PL",0.752,NA
"MA639331577","1PL",0.89,NA
"MA65328594","1PL",-1.66,NA
"MA619656929","1PL",0.521,NA
"MA637817152","1PL",-0.632,NA
"MA6149561","1PL",0.608,NA
"MA697371321","1PL",1.402,NA
"MA667895107","1PL",0.907,NA
"MA669790497","1PL",-1.908,NA
"MA611256385","1PL",0.218,NA
"MA655332299","1PL",-0.249,NA
"MA622698221","PC",2.188,2.968
"MA646295571","PC",-0.727,-0.469
"MA613809686","PC",-0.348,0.434
"MA66934944","PC",-0.923,-0.163
"MA614148071","1PL",-1.086,NA
"MA61100710","1PL",-0.876,NA
"MA686758036","1PL",-0.644,NA
"MA628578556","PC",-0.714,-0.282
"MA614422659","1PL",-0.257,NA
"MA68190140","1PL",0.548,NA
"MA630784579","1PL",1.064,NA
"MA63421141","1PL",1.222,NA
"MA689195783","1PL",1.242,NA
"MA643454610","1PL",1.312,NA
"MA69862633","1PL",1.4,NA
"MA657926795","1PL",1.538,NA
"MA662774382","1PL",1.562,NA
"MA679818391","PC",1.531,2.233
"MA622632027","PC",2.118,3.046
"MA621713299","1PL",-0.406,NA
"MA661496397","1PL",0.958,NA
"MA627905581","1PL",0.855,NA
"MA623097699","1PL",-1.475,NA
"MA617856724","1PL",2.819,NA
"MA666961676","1PL",0.624,NA
"MA654182574","1PL",-0.508,NA
"MA675297614","1PL",0.105,NA
"MA683294470","1PL",-0.15,NA
"MA646911951","1PL",0.522,NA
"MA641967702","1PL",-0.318,NA
"MA629193868","1PL",0.171,NA
"MA697835041","1PL",0.059,NA
"MA663159463","PC",0.498,0.838
"MA672848916","PC",-1.292,-0.89
"MA642344019","PC",-0.84,-0.382
"MA695288875","1PL",-1.22,NA
"MA683661308","1PL",-0.848,NA
"MA632893942","PC",-0.747,0.071
"MA649013087","1PL",-0.256,NA
"MA633613151","1PL",-0.239,NA
"MA670493096","PC",-0.372,0.256
"MA630831969","1PL",0.102,NA
"MA651815957","1PL",0.117,NA
"MA648720219","1PL",0.408,NA
"MA637162991","1PL",0.462,NA
"MA675576849","1PL",1.08,NA
"MA655832865","1PL",1.133,NA
"MA623417767","1PL",1.539,NA
"MA682736869","1PL",1.802,NA
"MA655620787","PC",1.585,2.529
"MA676312136","1PL",2.901,NA
"MA678381634","1PL",2.463,NA
"MA660821435","1PL",0.486,NA
"MA619572774","1PL",0.117,NA
"MA614939065","1PL",-1.429,NA
"MA67994235","1PL",2.03,NA
"MA658364028","1PL",2.353,NA
"MA671540187","1PL",-1.042,NA
"MA666547823","1PL",1.906,NA
"MA660728311","1PL",1.32,NA
"MA626887410","1PL",-1.584,NA
"MA666916394","1PL",0.678,NA
"MA639057440","1PL",-0.995,NA
"MA611316639","1PL",-0.115,NA
"MA640267804","PC",-0.297,0.027
"MA613050993","PC",1.688,1.94
"MA697911402","PC",1.74,2.372
"MA652308219","1PL",-0.462,NA
"MA69267482","1PL",0.666,NA
"MA629712077","1PL",1.559,NA
"MA696688264","1PL",0.458,NA
"MA690026621","1PL",-0.38,NA
"MA644700453","1PL",0.903,NA
"MA667118429","1PL",1.771,NA
"MA645404683","1PL",1.687,NA
"MA698895285","1PL",0.543,NA
"MA63118477","1PL",1.863,NA
"MA629133263","1PL",-0.889,NA
"MA618239718","1PL",0.75,NA
"MA680727223","PC",-2.007,-1.413
"MA65984831","PC",-1.023,-0.205
"MA625296258","PC",-0.304,0.198
"MA611475595","PC",-1.768,-1.56
"MA644259294","1PL",-0.802,NA
"MA65312611","1PL",-0.796,NA
"MA648816862","PC",-0.856,-0.158
"MA65887997","1PL",-0.186,NA
"MA663877578","1PL",-0.007,NA
"MA616104643","1PL",0.038,NA
"MA695357040","1PL",0.13,NA
"MA676148738","1PL",0.377,NA
"MA661323102","1PL",0.626,NA
"MA644789077","1PL",0.674,NA
"MA680196272","1PL",0.805,NA
"MA664711798","PC",0.722,0.982
"MA623493065","1PL",1.352,NA
"MA679871512","1PL",1.759,NA
"MA642422230","1PL",2.867,NA
"MA652681733","1PL",-1.42,NA
"MA670145034","1PL",0.194,NA
"MA627792012","1PL",-0.779,NA
"MA632305471","1PL",0.508,NA
"MA698355054","1PL",0.115,NA
"MA617009184","1PL",-2.216,NA
"MA678583551","1PL",0.752,NA
"MA665926723","1PL",-0.118,NA
"MA695780638","1PL",1.823,NA
"MA69200678","1PL",0.901,NA
"MA692096027","1PL",-1.174,NA
"MA644388924","1PL",-1.204,NA
"MA685849344","1PL",1.686,NA
"MA655099146","PC",0.345,0.955
"MA668136926","PC",0.597,1.547
"MA659900501","PC",2.052,2.794
"MA695260143","1PL",-1.316,NA
"MA694223106","1PL",-0.066,NA
"MA632264569","1PL",0.483,NA
"MA641627728","1PL",0.096,NA
"MA630926117","1PL",0.403,NA
"MA699073203","1PL",0.778,NA
"MA674715416","1PL",-1.325,NA
"MA649187708","1PL",1.838,NA
"MA66961921","1PL",-0.006,NA
"MA613306996","1PL",-1.548,NA
"MA622489924","1PL",3.045,NA
"MA690444459","1PL",0.253,NA
"MA655368095","1PL",-2.343,NA
"MA658512487","PC",0.345,1.337
"MA650766717","PC",0.499,1.307
