"ID","MODEL","PAR1","PAR2"
"MA33970863","1PL",-3.619,NA
"MA384028727","1PL",-3.018,NA
"MA33462542","PC",-3.126,-2.822
"MA328819527","PC",-2.674,-2.274
"MA311070406","1PL",-1.864,NA
"MA340593789","1PL",-1.698,NA
"MA333905630","1PL",-1.534,NA
"MA361806874","1PL",-1.392,NA
"MA342909637","1PL",-1.361,NA
"MA376193202","1PL",-1.257,NA
"MA356916886","1PL",-1.081,NA
"MA317376281","PC",-1.306,-0.768
"MA344893279","PC",-0.913,-0.539
"MA335381843","1PL",-0.427,NA
"MA31313777","PC",-0.587,-0.237
"MA317755163","1PL",-0.37,NA
"MA38525738","PC",-0.736,0.13
"MA333294543","1PL",-0.146,NA
"MA32692223","1PL",0.147,NA
"MA34451324","1PL",0.277,NA
"MA351711047","1PL",0.329,NA
"MA348999658","1PL",0.34,NA
"MA361480021","1PL",0.352,NA
"MA318239853","1PL",0.454,NA
"MA324040854","1PL",0.539,NA
"MA317787159","1PL",0.839,NA
"MA376531847","1PL",0.861,NA
"MA333888468","1PL",0.893,NA
"MA338868677","1PL",1.059,NA
"MA365889849","1PL",1.164,NA
"MA333128368","1PL",0.545,NA
"MA311448876","1PL",0.225,NA
"MA330149139","1PL",-2.931,NA
"MA327203911","1PL",0.048,NA
"MA377807539","1PL",-0.874,NA
"MA364041876","1PL",-0.326,NA
"MA374196424","1PL",-3.349,NA
"MA39389562","1PL",-1.506,NA
"MA34108015","1PL",0.779,NA
"MA358997683","1PL",-2.688,NA
"MA352390697","1PL",0.577,NA
"MA32326115","1PL",-0.813,NA
"MA374964369","PC",-0.197,0.403
"MA361188603","PC",-1.074,-0.722
"MA360109835","PC",0.82,1.638
"MA3284463","1PL",-0.41,NA
"MA382144588","1PL",-0.4,NA
"MA351246313","1PL",-1.455,NA
"MA388799110","1PL",-0.279,NA
"MA314026980","1PL",-1.393,NA
"MA348009634","1PL",0.276,NA
"MA370346655","1PL",-0.806,NA
"MA374371562","1PL",-1.721,NA
"MA342086155","1PL",0.639,NA
"MA36388465","1PL",-1.278,NA
"MA353376059","1PL",-0.414,NA
"MA338892779","1PL",-0.416,NA
"MA34823186","PC",-0.781,-0.281
"MA310003093","PC",-1.176,-0.694
"MA383390965","PC",1.512,1.738
"MA318669427","1PL",-2.374,NA
"MA351384717","1PL",-2.34,NA
"MA381673832","PC",-2.6,-2.032
"MA359818803","1PL",-1.437,NA
"MA312704507","1PL",-1.229,NA
"MA335483271","1PL",-0.985,NA
"MA341211919","1PL",-0.971,NA
"MA347439500","PC",-0.954,-0.622
"MA315008600","1PL",-0.63,NA
"MA335007978","1PL",-0.492,NA
"MA397527867","1PL",-0.347,NA
"MA383303899","1PL",-0.325,NA
"MA360978316","1PL",-0.155,NA
"MA375444377","PC",-0.466,0.354
"MA334624718","1PL",0.02,NA
"MA392363771","1PL",0.17,NA
"MA353995615","1PL",0.559,NA
"MA364507957","1PL",0.876,NA
"MA352148444","PC",1.14,1.496
"MA38492786","1PL",1.328,NA
"MA349804823","1PL",-2.603,NA
"MA350810505","1PL",-2.061,NA
"MA394547749","1PL",-1.87,NA
"MA391002536","1PL",-1.629,NA
"MA344738396","1PL",-1.138,NA
"MA324998045","PC",-0.862,-0.572
"MA315082265","1PL",-0.645,NA
"MA34840900","1PL",-0.241,NA
"MA325796621","1PL",-0.05,NA
"MA319782299","1PL",0.152,NA
"MA349469523","PC",-0.213,0.599
"MA384583131","1PL",0.316,NA
"MA352707091","PC",0.562,1.062
"MA372790820","1PL",0.815,NA
"MA390540908","1PL",1.176,NA
"MA328764354","1PL",-3.176,NA
"MA39924788","1PL",-2.677,NA
"MA371329500","PC",-1.659,-1.457
"MA386036283","1PL",-1.39,NA
"MA359766867","1PL",-1.091,NA
"MA312069644","1PL",-0.751,NA
"MA377379654","1PL",-0.637,NA
"MA355883774","1PL",-0.607,NA
"MA33352332","1PL",-0.56,NA
"MA330608549","1PL",-0.15,NA
"MA363837164","PC",-0.073,0.325
"MA359789886","PC",-0.133,0.805
"MA334484318","1PL",0.571,NA
"MA369175516","1PL",0.757,NA
"MA389258198","1PL",1.136,NA
"MA392115443","1PL",-3.386,NA
"MA31061207","1PL",-2.382,NA
"MA399147253","1PL",-1.958,NA
"MA353074635","1PL",-1.78,NA
"MA36161324","1PL",-1.725,NA
"MA329178625","1PL",-1.339,NA
"MA389216034","PC",-1.69,-0.822
"MA396421391","1PL",-1.054,NA
"MA399242773","1PL",-0.722,NA
"MA347378402","1PL",-0.383,NA
"MA371271641","1PL",-0.365,NA
"MA352414685","PC",-0.68,0.166
"MA349505785","PC",0.484,0.886
"MA399313513","1PL",1.057,NA
"MA338865390","1PL",1.283,NA
"MA330594247","PC",-2.316,-2.024
