"ID","STANDARD","ITEM_TYPE","DOK","DOMAIN","UDOMAIN","POINTS"
"MA5630350","MA 5.1.1.a","Polytomous",1,"NR","NUM",2
"MA559633494","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA54378667","MA 5.1.1.a","Polytomous",2,"NR","NUM",2
"MA53990906","MA 5.1.1.a","Polytomous",1,"NR","NUM",2
"MA535691147","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA595752951","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA558080020","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA565049475","MA 5.1.1.a","Polytomous",2,"NR","NUM",2
"MA583246909","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA572599964","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA52740881","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA543176257","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA541375373","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA51524938","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA533354093","MA 5.1.1.a","Polytomous",2,"NR","NUM",2
"MA533523161","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA591615309","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA571665643","MA 5.1.1.a","Dichotomous",1,"NR","NUM",1
"MA588889488","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA587435601","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA583688322","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA562672160","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA561226700","MA 5.1.1.a","Dichotomous",2,"NR","NUM",1
"MA564408551","MA 5.1.1.b","Dichotomous",1,"NR","NUM",1
"MA586910594","MA 5.1.1.b","Dichotomous",1,"NR","NUM",1
"MA575173077","MA 5.1.1.b","Dichotomous",1,"NR","NUM",1
"MA537860717","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA559795888","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA541442493","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA515243441","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA565875931","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA566848285","MA 5.1.1.b","Polytomous",1,"NR","NUM",2
"MA542151652","MA 5.1.1.b","Dichotomous",1,"NR","NUM",1
"MA524864974","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA591997249","MA 5.1.1.b","Dichotomous",1,"NR","NUM",1
"MA552691172","MA 5.1.1.b","Polytomous",1,"NR","NUM",2
"MA585773968","MA 5.1.1.b","Dichotomous",1,"NR","NUM",1
"MA537681626","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA525745641","MA 5.1.1.b","Dichotomous",2,"NR","NUM",1
"MA581972141","MA 5.1.1.b","Polytomous",2,"NR","NUM",2
"MA556943006","MA 5.1.1.b","Polytomous",2,"NR","NUM",2
"MA542830537","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA554012592","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA553073416","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA582199168","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA535913017","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA597357044","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA550834247","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA55333204","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA551201741","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA525967730","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA518921201","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA58360710","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA512967383","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA550605304","MA 5.1.1.c","Dichotomous",1,"NR","NUM",1
"MA565854623","MA 5.1.1.c","Polytomous",1,"NR","NUM",2
"MA51808976","MA 5.1.1.c","Polytomous",1,"NR","NUM",2
"MA548044058","MA 5.1.1.c","Polytomous",1,"NR","NUM",2
"MA584440181","MA 5.1.1.c","Polytomous",1,"NR","NUM",2
"MA592896249","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA521029238","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA560931759","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA577176082","MA 5.1.1.d","Polytomous",1,"NR","NUM",2
"MA574834272","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA584073775","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA522979960","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA555996362","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA547313376","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA526297526","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA582121826","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA575458916","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA592386106","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA591824225","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA519124977","MA 5.1.1.d","Polytomous",2,"NR","NUM",2
"MA580774632","MA 5.1.1.d","Polytomous",2,"NR","NUM",2
"MA573627734","MA 5.1.1.d","Polytomous",1,"NR","NUM",2
"MA559783682","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA531677073","MA 5.1.1.d","Dichotomous",1,"NR","NUM",1
"MA537384377","MA 5.1.1.d","Polytomous",2,"NR","NUM",2
"MA573910324","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA535990143","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA575594181","MA 5.1.1.d","Dichotomous",2,"NR","NUM",1
"MA571405493","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA599908037","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA541882522","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA543851875","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA511535758","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA525148715","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA519376289","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA515402247","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA546175567","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA549388134","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA522053579","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
"MA516764572","MA 5.1.1.e","Dichotomous",1,"NR","NUM",1
