"ID","MODEL","PAR1","PAR2"
"MA5630350","PC",-2.191,-1.965
"MA559633494","1PL",-1.905,NA
"MA54378667","PC",-1.54,-1.004
"MA53990906","PC",-1.482,-1.036
"MA535691147","1PL",-0.781,NA
"MA595752951","1PL",-0.647,NA
"MA558080020","1PL",-0.532,NA
"MA565049475","PC",-0.821,-0.205
"MA583246909","1PL",-0.409,NA
"MA572599964","1PL",-0.228,NA
"MA52740881","1PL",-0.225,NA
"MA543176257","1PL",-0.163,NA
"MA541375373","1PL",-0.157,NA
"MA51524938","1PL",0.098,NA
"MA533354093","PC",-0.099,0.589
"MA533523161","1PL",0.493,NA
"MA591615309","1PL",0.527,NA
"MA571665643","1PL",0.57,NA
"MA588889488","1PL",0.599,NA
"MA587435601","1PL",0.606,NA
"MA583688322","1PL",0.798,NA
"MA562672160","1PL",0.891,NA
"MA561226700","1PL",1.081,NA
"MA564408551","1PL",-1.71,NA
"MA586910594","1PL",-1.513,NA
"MA575173077","1PL",-1.118,NA
"MA537860717","1PL",-0.816,NA
"MA559795888","1PL",-0.639,NA
"MA541442493","1PL",-0.556,NA
"MA515243441","1PL",-0.402,NA
"MA565875931","1PL",-0.291,NA
"MA566848285","PC",-0.608,0.056
"MA542151652","1PL",-0.151,NA
"MA524864974","1PL",0.24,NA
"MA591997249","1PL",0.322,NA
"MA552691172","PC",0.106,1.024
"MA585773968","1PL",0.642,NA
"MA537681626","1PL",0.824,NA
"MA525745641","1PL",0.866,NA
"MA581972141","PC",1.376,1.706
"MA556943006","PC",1.992,2.616
"MA542830537","1PL",0.938,NA
"MA554012592","1PL",-0.439,NA
"MA553073416","1PL",0.609,NA
"MA582199168","1PL",0.781,NA
"MA535913017","1PL",-1.098,NA
"MA597357044","1PL",-2.006,NA
"MA550834247","1PL",-0.187,NA
"MA55333204","1PL",0.786,NA
"MA551201741","1PL",0.688,NA
"MA525967730","1PL",1.751,NA
"MA518921201","1PL",1.338,NA
"MA58360710","1PL",1.045,NA
"MA512967383","1PL",2.318,NA
"MA550605304","1PL",0.577,NA
"MA565854623","PC",-0.364,0.626
"MA51808976","PC",-1.205,-0.779
"MA548044058","PC",-0.313,0.451
"MA584440181","PC",-0.146,0.648
"MA592896249","1PL",-2.006,NA
"MA521029238","1PL",-1.885,NA
"MA560931759","1PL",-1.231,NA
"MA577176082","PC",-1.548,-0.766
"MA574834272","1PL",-1.154,NA
"MA584073775","1PL",-0.88,NA
"MA522979960","1PL",-0.644,NA
"MA555996362","1PL",-0.636,NA
"MA547313376","1PL",-0.441,NA
"MA526297526","1PL",-0.371,NA
"MA582121826","1PL",-0.343,NA
"MA575458916","1PL",-0.171,NA
"MA592386106","1PL",0.057,NA
"MA591824225","1PL",0.173,NA
"MA519124977","PC",0.01,0.684
"MA580774632","PC",0.069,0.823
"MA573627734","PC",0.494,0.74
"MA559783682","1PL",0.719,NA
"MA531677073","1PL",0.849,NA
"MA537384377","PC",0.928,1.434
"MA573910324","1PL",1.214,NA
"MA535990143","1PL",2.065,NA
"MA575594181","1PL",2.788,NA
"MA571405493","1PL",-0.645,NA
"MA599908037","1PL",-0.696,NA
"MA541882522","1PL",-0.381,NA
"MA543851875","1PL",-0.207,NA
"MA511535758","1PL",0.517,NA
"MA525148715","1PL",0.262,NA
"MA519376289","1PL",-0.44,NA
"MA515402247","1PL",1.07,NA
"MA546175567","1PL",0.278,NA
"MA549388134","1PL",2.023,NA
"MA522053579","1PL",-1.643,NA
"MA516764572","1PL",-0.646,NA
"MA569735986","1PL",0.935,NA
"MA550978915","1PL",0.117,NA
"MA582502396","PC",-0.409,0.333
"MA528987198","PC",-1.265,-0.867
"MA597208069","PC",0.268,1.084
"MA522371921","PC",-0.381,0.009
