"ID","STANDARD","ITEM_TYPE","DOK","DOMAIN","UDOMAIN","POINTS"
"MA63189930","MA 6.1.1.a","Dichotomous",1,"NR","NUM",1
"MA688337302","MA 6.1.1.a","Polytomous",1,"NR","NUM",2
"MA640766197","MA 6.1.1.a","Dichotomous",2,"NR","NUM",1
"MA689516997","MA 6.1.1.a","Dichotomous",1,"NR","NUM",1
"MA634195854","MA 6.1.1.a","Dichotomous",1,"NR","NUM",1
"MA666413455","MA 6.1.1.a","Dichotomous",2,"NR","NUM",1
"MA649270071","MA 6.1.1.a","Polytomous",2,"NR","NUM",2
"MA654796518","MA 6.1.1.a","Dichotomous",1,"NR","NUM",1
"MA668049011","MA 6.1.1.a","Dichotomous",1,"NR","NUM",1
"MA683014076","MA 6.1.1.a","Dichotomous",2,"NR","NUM",1
"MA625983255","MA 6.1.1.a","Dichotomous",1,"NR","NUM",1
"MA661595677","MA 6.1.1.a","Dichotomous",2,"NR","NUM",1
"MA624332848","MA 6.1.1.a","Dichotomous",2,"NR","NUM",1
"MA675732920","MA 6.1.1.a","Dichotomous",2,"NR","NUM",1
"MA667483949","MA 6.1.1.a","Dichotomous",2,"NR","NUM",1
"MA628164283","MA 6.1.1.a","Polytomous",2,"NR","NUM",2
"MA612213068","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA658865996","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA646710214","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA642863969","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA64507894","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA656900208","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA638646109","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA696575821","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA657430146","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA696364994","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA637655785","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA62062765","MA 6.1.1.b","Dichotomous",1,"NR","NUM",1
"MA63100503","MA 6.1.1.b","Polytomous",1,"NR","NUM",2
"MA622826704","MA 6.1.1.b","Polytomous",1,"NR","NUM",2
"MA649281889","MA 6.1.1.b","Polytomous",1,"NR","NUM",2
"MA673412628","MA 6.1.1.c","Dichotomous",1,"NR","NUM",1
"MA620860742","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA676403500","MA 6.1.1.c","Polytomous",1,"NR","NUM",2
"MA692646048","MA 6.1.1.c","Polytomous",1,"NR","NUM",2
"MA626918092","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA646998004","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA637728085","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA627381874","MA 6.1.1.c","Dichotomous",1,"NR","NUM",1
"MA651855117","MA 6.1.1.c","Polytomous",2,"NR","NUM",2
"MA629905602","MA 6.1.1.c","Dichotomous",1,"NR","NUM",1
"MA659914571","MA 6.1.1.c","Dichotomous",1,"NR","NUM",1
"MA696691811","MA 6.1.1.c","Dichotomous",1,"NR","NUM",1
"MA633693180","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA693152070","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA694673227","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA637818846","MA 6.1.1.c","Dichotomous",2,"NR","NUM",1
"MA657299355","MA 6.1.1.d","Dichotomous",1,"NR","NUM",1
"MA693092061","MA 6.1.1.d","Dichotomous",2,"NR","NUM",1
"MA673335563","MA 6.1.1.d","Dichotomous",1,"NR","NUM",1
"MA622226159","MA 6.1.1.d","Dichotomous",1,"NR","NUM",1
"MA656311623","MA 6.1.1.d","Polytomous",1,"NR","NUM",2
"MA648265205","MA 6.1.1.d","Dichotomous",2,"NR","NUM",1
"MA672704315","MA 6.1.1.d","Polytomous",1,"NR","NUM",2
"MA633550205","MA 6.1.1.d","Dichotomous",1,"NR","NUM",1
"MA668599726","MA 6.1.1.d","Dichotomous",2,"NR","NUM",1
"MA632552644","MA 6.1.1.d","Dichotomous",1,"NR","NUM",1
"MA666003894","MA 6.1.1.d","Dichotomous",2,"NR","NUM",1
"MA664402334","MA 6.1.1.d","Polytomous",2,"NR","NUM",2
"MA694478893","MA 6.1.1.d","Dichotomous",2,"NR","NUM",1
"MA688966153","MA 6.1.1.d","Dichotomous",2,"NR","NUM",1
"MA650327829","MA 6.1.1.d","Dichotomous",2,"NR","NUM",1
"MA641989819","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA614432581","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA634466345","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA631045689","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA636490255","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA632615800","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA639851757","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA647750128","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA691956275","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA634447289","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA690113744","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA690912704","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA636630278","MA 6.1.1.g","Dichotomous",2,"NR","NUM",1
"MA644684056","MA 6.1.1.g","Polytomous",2,"NR","NUM",2
"MA672183620","MA 6.1.1.g","Polytomous",2,"NR","NUM",2
"MA66566679","MA 6.1.1.g","Polytomous",2,"NR","NUM",2
"MA672901162","MA 6.1.1.h","Dichotomous",1,"NR","NUM",1
"MA655980445","MA 6.1.1.h","Dichotomous",1,"NR","NUM",1
"MA654361782","MA 6.1.1.h","Dichotomous",2,"NR","NUM",1
"MA619992058","MA 6.1.1.h","Polytomous",1,"NR","NUM",2
