"ID","STANDARD","ITEM_TYPE","DOK","DOMAIN","UDOMAIN","POINTS"
"MA492505529","MA 4.1.1.a","Dichotomous",1,"NR","NUM",1
"MA498104623","MA 4.1.1.a","Dichotomous",2,"NR","NUM",1
"MA414177061","MA 4.1.1.a","Polytomous",2,"NR","NUM",2
"MA438430354","MA 4.1.1.a","Dichotomous",2,"NR","NUM",1
"MA43851208","MA 4.1.1.a","Dichotomous",1,"NR","NUM",1
"MA423946902","MA 4.1.1.a","Dichotomous",2,"NR","NUM",1
"MA486014178","MA 4.1.1.a","Dichotomous",1,"NR","NUM",1
"MA490776407","MA 4.1.1.a","Dichotomous",1,"NR","NUM",1
"MA499942363","MA 4.1.1.a","Dichotomous",2,"NR","NUM",1
"MA441919013","MA 4.1.1.a","Polytomous",1,"NR","NUM",2
"MA487174787","MA 4.1.1.a","Dichotomous",1,"NR","NUM",1
"MA426190503","MA 4.1.1.a","Polytomous",1,"NR","NUM",2
"MA479985845","MA 4.1.1.a","Dichotomous",2,"NR","NUM",1
"MA412619941","MA 4.1.1.a","Dichotomous",2,"NR","NUM",1
"MA457488620","MA 4.1.1.a","Dichotomous",2,"NR","NUM",1
"MA42134208","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA466950969","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA485300326","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA494401553","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA463451048","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA479857700","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA43277335","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA438878180","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA480304188","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA459170178","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA457103268","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA46725711","MA 4.1.1.c","Dichotomous",1,"NR","NUM",1
"MA467753407","MA 4.1.1.c","Polytomous",1,"NR","NUM",2
"MA444131909","MA 4.1.1.c","Polytomous",1,"NR","NUM",2
"MA466437127","MA 4.1.1.c","Polytomous",1,"NR","NUM",2
"MA43325100","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA477299546","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA411293811","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA485411520","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA41361352","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA431837222","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA440065205","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA496530998","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA454346669","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA446154746","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA440464954","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA446505495","MA 4.1.1.d","Dichotomous",1,"NR","NUM",1
"MA433190811","MA 4.1.1.d","Polytomous",1,"NR","NUM",2
"MA487158335","MA 4.1.1.d","Polytomous",1,"NR","NUM",2
"MA444988261","MA 4.1.1.d","Polytomous",1,"NR","NUM",2
"MA498933936","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA485073872","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA432535010","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA467218733","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA424715242","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA483576245","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA483087690","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA433527838","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA479571468","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA410193629","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA492535743","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA45056417","MA 4.1.1.e","Dichotomous",1,"NR","NUM",1
"MA419177713","MA 4.1.1.e","Polytomous",1,"NR","NUM",2
"MA442156383","MA 4.1.1.e","Polytomous",1,"NR","NUM",2
"MA446300622","MA 4.1.1.e","Polytomous",1,"NR","NUM",2
"MA498076768","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA430311555","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA466488","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA424427822","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA487734681","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA410260811","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA493907552","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA449072688","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA493695627","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA465500880","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA42753689","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA425424872","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA414487721","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA411511866","MA 4.1.1.f","Dichotomous",1,"NR","NUM",1
"MA460199931","MA 4.1.1.f","Polytomous",1,"NR","NUM",2
"MA478769002","MA 4.1.1.f","Polytomous",1,"NR","NUM",2
"MA478687034","MA 4.1.1.f","Polytomous",1,"NR","NUM",2
"MA484433907","MA 4.1.1.f","Polytomous",1,"NR","NUM",2
"MA464415170","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
"MA41019532","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
"MA49166619","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
"MA474524001","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
"MA478151771","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
"MA474224625","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
"MA480168008","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
"MA418319278","MA 4.1.1.g","Dichotomous",1,"NR","NUM",1
