"ID","MODEL","PAR1","PAR2"
"MA492505529","1PL",-2.685,NA
"MA498104623","1PL",-1.623,NA
"MA414177061","PC",-1.512,-1.202
"MA438430354","1PL",-1.289,NA
"MA43851208","1PL",-1.217,NA
"MA423946902","1PL",-0.795,NA
"MA486014178","1PL",-0.583,NA
"MA490776407","1PL",-0.04,NA
"MA499942363","1PL",0.208,NA
"MA441919013","PC",0.121,0.389
"MA487174787","1PL",0.595,NA
"MA426190503","PC",0.385,0.927
"MA479985845","1PL",1.209,NA
"MA412619941","1PL",1.946,NA
"MA457488620","1PL",2.466,NA
"MA42134208","1PL",-1.549,NA
"MA466950969","1PL",0.001,NA
"MA485300326","1PL",-0.952,NA
"MA494401553","1PL",-1.675,NA
"MA463451048","1PL",1.132,NA
"MA479857700","1PL",-0.949,NA
"MA43277335","1PL",-2.435,NA
"MA438878180","1PL",-0.835,NA
"MA480304188","1PL",0.894,NA
"MA459170178","1PL",-2.085,NA
"MA457103268","1PL",0.4,NA
"MA46725711","1PL",0.765,NA
"MA467753407","PC",0.216,1.168
"MA444131909","PC",-0.024,0.498
"MA466437127","PC",-0.386,0.35
"MA43325100","1PL",-2.136,NA
"MA477299546","1PL",-0.755,NA
"MA411293811","1PL",-2.893,NA
"MA485411520","1PL",1.194,NA
"MA41361352","1PL",2.38,NA
"MA431837222","1PL",0.178,NA
"MA440065205","1PL",0.594,NA
"MA496530998","1PL",-0.282,NA
"MA454346669","1PL",1.876,NA
"MA446154746","1PL",0.299,NA
"MA440464954","1PL",-1.156,NA
"MA446505495","1PL",0.484,NA
"MA433190811","PC",-3.608,-3.214
"MA487158335","PC",-1.835,-1.077
"MA444988261","PC",-1.159,-0.747
"MA498933936","1PL",-0.155,NA
"MA485073872","1PL",0.251,NA
"MA432535010","1PL",1.317,NA
"MA467218733","1PL",-0.259,NA
"MA424715242","1PL",0.946,NA
"MA483576245","1PL",-0.512,NA
"MA483087690","1PL",1.697,NA
"MA433527838","1PL",-1.003,NA
"MA479571468","1PL",2.573,NA
"MA410193629","1PL",0.046,NA
"MA492535743","1PL",-0.318,NA
"MA45056417","1PL",-1.362,NA
