"ID","MODEL","PAR1","PAR2"
"MA832020731","1PL",1.297,NA
"MA891814630","1PL",1.474,NA
"MA87625274","1PL",0.532,NA
"MA848082023","1PL",1.937,NA
"MA877029559","1PL",2.524,NA
"MA878929744","1PL",-0.004,NA
"MA836864782","1PL",0.291,NA
"MA842301312","1PL",0.475,NA
"MA820178211","1PL",1.366,NA
"MA857928958","1PL",0.759,NA
"MA864544421","1PL",2.708,NA
"MA839550615","1PL",1.168,NA
"MA884910096","1PL",0.153,NA
"MA878015021","1PL",1.098,NA
"MA820487916","PC",0.86,1.85
"MA836671498","PC",-0.019,0.415
"MA843765304","PC",2.203,2.451
"MA830751255","PC",-0.647,-0.049
"MA844191995","1PL",1.822,NA
"MA87150708","1PL",1.074,NA
"MA887490477","1PL",0.133,NA
"MA892194393","1PL",-0.587,NA
"MA844205634","1PL",1.852,NA
"MA873713316","1PL",1.667,NA
"MA843528436","1PL",2.233,NA
"MA848280720","1PL",1.557,NA
"MA844799506","1PL",0.358,NA
"MA852153145","1PL",1.426,NA
"MA826325946","1PL",-0.533,NA
"MA819592092","1PL",1.679,NA
"MA822668094","1PL",0.547,NA
"MA881324941","1PL",0.546,NA
"MA841239087","PC",0.846,1.668
"MA85366466","PC",0.273,1.189
"MA872055279","PC",1.251,1.585
"MA826762986","PC",2.163,2.887
"MA843313096","1PL",-0.111,NA
"MA876860481","1PL",0.019,NA
"MA828095541","PC",0.002,0.786
"MA822470925","PC",0.134,0.726
"MA89195586","1PL",0.605,NA
"MA887902922","1PL",0.835,NA
"MA839082554","1PL",0.871,NA
"MA885148632","1PL",1.059,NA
"MA837868205","1PL",1.203,NA
"MA865212183","1PL",1.252,NA
"MA872246241","1PL",1.464,NA
"MA81847862","PC",1.52,2.032
"MA876129547","1PL",2.293,NA
"MA890297870","1PL",2.397,NA
"MA818252944","PC",2.148,3.1
"MA898047111","1PL",2.643,NA
"MA899025792","1PL",3.045,NA
"MA836974959","1PL",3.232,NA
"MA814324266","1PL",3.538,NA
"MA874857394","1PL",4.929,NA
"MA892969251","1PL",0.98,NA
"MA816701719","1PL",-0.244,NA
"MA889971594","1PL",0.237,NA
"MA839922224","1PL",0.056,NA
"MA819495106","1PL",1.981,NA
"MA83928491","1PL",2.229,NA
"MA847624696","1PL",2.472,NA
"MA849922478","1PL",3.886,NA
"MA827060484","1PL",1.047,NA
"MA899203240","1PL",2.133,NA
"MA876717485","1PL",1.516,NA
"MA860186495","1PL",0.1,NA
"MA831564070","PC",1.24,2.074
"MA823592362","PC",0.781,1.027
"MA829759918","PC",-0.684,-0.41
"MA818910315","1PL",0.443,NA
"MA889483323","1PL",-1.23,NA
"MA820240583","1PL",0.631,NA
"MA819837869","1PL",1.087,NA
"MA841778124","1PL",1.961,NA
"MA872019973","1PL",2.522,NA
"MA870211036","1PL",-0.109,NA
"MA840983258","1PL",1.311,NA
"MA889435765","1PL",0.797,NA
"MA879406478","1PL",0.594,NA
"MA864220682","1PL",2.447,NA
"MA868669278","1PL",1.224,NA
"MA859558744","1PL",1.865,NA
"MA868424664","1PL",0.743,NA
"MA810373204","PC",0.327,1.103
"MA847123231","PC",0.521,0.827
"MA846152605","PC",0.03,0.394
"MA882038161","PC",-0.068,0.136
"MA839081869","1PL",0.641,NA
"MA893374302","1PL",0.208,NA
"MA818189029","1PL",4.708,NA
"MA823527166","1PL",-0.37,NA
"MA893621955","1PL",0.764,NA
"MA816168734","1PL",1.376,NA
"MA895307505","1PL",3.436,NA
"MA897009348","1PL",1.477,NA
"MA868616840","1PL",0.817,NA
"MA899312029","1PL",2.246,NA
"MA87962091","1PL",0.884,NA
"MA810900443","1PL",0.849,NA
"MA875324690","1PL",2.727,NA
"MA895058662","1PL",-0.088,NA
"MA8640426","PC",1.368,1.616
"MA825022051","PC",0.574,1.3
"MA898134127","PC",0.292,1.252
"MA814067104","PC",0.217,0.505
"MA830940885","PC",0.248,0.528
"MA884133068","PC",-0.076,0.906
"MA858960103","PC",0.178,0.694
"MA818017548","1PL",0.691,NA
"MA828007501","1PL",0.819,NA
"MA883059460","1PL",0.868,NA
"MA846158448","1PL",0.911,NA
"MA840788185","1PL",1.109,NA
"MA850169718","1PL",1.195,NA
"MA870092979","1PL",1.29,NA
"MA817125376","1PL",1.519,NA
"MA864406971","1PL",1.592,NA
"MA854941336","PC",1.559,1.767
"MA828501281","1PL",1.721,NA
"MA862093762","1PL",1.855,NA
"MA823703062","1PL",2.477,NA
"MA883910486","1PL",2.903,NA
"MA823688412","1PL",2.939,NA
"MA826770694","1PL",-1.161,NA
"MA875112208","PC",-0.968,-0.524
"MA811143895","1PL",-0.6,NA
"MA842368031","PC",-0.771,0.101
"MA891928539","PC",0.005,0.599
"MA869068363","1PL",0.365,NA
"MA843712347","1PL",0.561,NA
"MA890263255","1PL",0.592,NA
"MA856241702","1PL",0.618,NA
"MA814490523","1PL",1.295,NA
"MA873159186","1PL",1.319,NA
"MA870581742","1PL",1.679,NA
"MA8629619","1PL",1.791,NA
"MA888446680","1PL",1.894,NA
"MA863294215","1PL",1.952,NA
"MA824134233","1PL",2.006,NA
"MA834383022","1PL",2.619,NA
"MA811354094","1PL",3.061,NA
"MA84251064","1PL",3.369,NA
"MA846300518","PC",3.382,3.782
"MA829492965","1PL",-0.779,NA
"MA878398472","PC",-0.931,-0.217
"MA813009921","1PL",-0.327,NA
"MA818304301","PC",-0.602,0.148
"MA82234478","1PL",-0.073,NA
"MA867262124","1PL",0.471,NA
"MA884211384","1PL",0.716,NA
"MA879955103","1PL",1.259,NA
"MA843613905","1PL",1.323,NA
"MA829463681","1PL",1.366,NA
"MA860084050","1PL",1.513,NA
"MA824208267","1PL",1.682,NA
"MA811002462","1PL",1.694,NA
"MA842380233","1PL",1.791,NA
"MA869927877","PC",1.343,2.241
"MA899701689","1PL",1.941,NA
"MA891366187","1PL",2.091,NA
"MA839012696","PC",1.692,2.624
"MA856005358","1PL",2.215,NA
"MA843183680","1PL",2.39,NA
"MA836126233","1PL",1.359,NA
"MA894329891","1PL",2.355,NA
"MA860570605","1PL",1.761,NA
"MA898107937","1PL",-1.695,NA
"MA87368655","1PL",2.462,NA
"MA814883299","1PL",-0.203,NA
"MA817355582","1PL",2.012,NA
"MA858200545","1PL",0.163,NA
"MA888784920","1PL",0.544,NA
"MA857394007","1PL",2.188,NA
"MA864432989","1PL",1.964,NA
"MA88354118","1PL",0.039,NA
"MA86595231","1PL",0.802,NA
"MA897737990","1PL",0.165,NA
"MA845321247","PC",-1.737,-1.005
"MA834354530","PC",0.601,1.215
"MA863852738","PC",2.295,3.057
"MA864523266","PC",3.977,4.369
"MA842086025","1PL",-1.053,NA
"MA853419667","1PL",-0.8,NA
"MA813072587","PC",-0.895,-0.115
"MA855713530","1PL",-0.273,NA
"MA8200273","PC",-0.087,0.225
"MA880151139","1PL",0.728,NA
"MA81040712","1PL",0.898,NA
"MA847086052","1PL",0.948,NA
"MA871488429","1PL",0.954,NA
"MA824740716","1PL",1.091,NA
"MA896524944","1PL",1.113,NA
"MA876490859","PC",1.311,1.947
"MA813286979","PC",1.266,2.068
"MA82347120","1PL",1.683,NA
"MA898052040","1PL",1.707,NA
"MA897253224","1PL",1.76,NA
"MA810670065","1PL",1.855,NA
"MA823213185","1PL",2.96,NA
"MA811167674","1PL",3.663,NA
"MA885312315","1PL",0.823,NA
"MA843851673","1PL",0.708,NA
"MA893740834","1PL",0.524,NA
"MA850181416","1PL",1.834,NA
"MA820641129","1PL",1.643,NA
"MA875790337","1PL",-0.015,NA
"MA826969708","1PL",0.375,NA
"MA849869187","1PL",2,NA
"MA863875408","1PL",0.592,NA
"MA840488563","1PL",0.608,NA
"MA886305889","1PL",1.334,NA
"MA835641959","1PL",3.707,NA
"MA821446930","1PL",2.274,NA
"MA899681095","1PL",0.821,NA
"MA871054891","1PL",1.639,NA
"MA86095332","1PL",0.895,NA
"MA836787123","1PL",1.542,NA
"MA862889065","1PL",0.41,NA
"MA892703337","PC",0.627,0.917
"MA837552638","PC",1.796,2.206
"MA811996358","PC",2.948,3.57
"MA882077884","PC",1.893,2.655
"MA897146387","PC",-1.186,-0.62
"MA89008679","1PL",-0.66,NA
"MA895960995","1PL",-0.516,NA
"MA813743848","1PL",-0.295,NA
"MA895347809","1PL",-0.055,NA
"MA886959686","1PL",0.668,NA
"MA818838674","1PL",0.699,NA
"MA834465346","1PL",0.793,NA
"MA822208628","1PL",0.814,NA
"MA898244177","1PL",1.036,NA
"MA889489655","PC",1.014,1.24
"MA880880798","1PL",1.167,NA
"MA814335248","PC",1.001,1.581
"MA812844504","1PL",1.524,NA
"MA839394927","1PL",1.673,NA
"MA853480681","1PL",1.746,NA
"MA831701855","1PL",1.917,NA
"MA8530460","PC",1.737,2.659
"MA83070017","1PL",2.377,NA
"MA869442731","1PL",2.483,NA
"MA893657454","1PL",3.069,NA
"MA810337016","PC",3.226,3.568
"MA81286656","1PL",3.706,NA
"MA841678328","1PL",0.956,NA
"MA886967581","1PL",1.139,NA
"MA862631656","1PL",1.619,NA
"MA868776113","1PL",1.664,NA
"MA867847143","1PL",0.318,NA
"MA833770348","1PL",2.158,NA
"MA823330912","1PL",0.438,NA
"MA898942041","1PL",-0.276,NA
"MA849747617","1PL",3.059,NA
"MA858161789","1PL",2.562,NA
"MA848597244","1PL",-0.506,NA
"MA887479359","1PL",1.522,NA
"MA82143782","1PL",2.317,NA
"MA813150792","1PL",2.923,NA
"MA810570743","1PL",1.273,NA
"MA879199662","1PL",1.838,NA
"MA847458480","1PL",-0.795,NA
"MA878647330","1PL",0.467,NA
"MA816444329","1PL",3.093,NA
"MA819033269","1PL",1.891,NA
"MA812560428","PC",0.671,0.885
"MA855940710","PC",0.954,1.686
"MA858155132","PC",1.153,1.567
"MA881078613","PC",1.204,2.182
"MA848438307","PC",1.889,2.115
"MA862271781","1PL",2.15,NA
"MA811536819","1PL",0.124,NA
"MA881552203","1PL",2.262,NA
"MA869935403","1PL",1.357,NA
"MA834179774","1PL",0.912,NA
"MA824008167","1PL",0.242,NA
"MA821203891","1PL",1.269,NA
"MA859716020","1PL",1.294,NA
"MA864650446","1PL",-0.339,NA
"MA878157777","1PL",-0.47,NA
"MA866503165","1PL",1.485,NA
"MA844392890","1PL",0.713,NA
"MA890155597","1PL",0.156,NA
"MA877577810","1PL",2.106,NA
"MA881509903","1PL",2.7,NA
"MA849786183","1PL",3.909,NA
"MA811811411","1PL",-0.127,NA
"MA817905852","1PL",1.648,NA
"MA858340500","1PL",0.53,NA
"MA889806588","1PL",1.723,NA
"MA866193839","1PL",1.046,NA
"MA893301035","1PL",1.1,NA
"MA857735348","PC",1.507,1.851
"MA896062365","PC",-1.088,-0.426
"MA84170621","PC",1.645,1.941
"MA885251529","PC",0.716,1.62
"MA87210739","PC",1.238,1.448
"MA810675228","PC",2.649,3.391
"MA883972311","PC",-1.504,-0.684
"MA8754825","1PL",-0.896,NA
"MA821738277","1PL",-0.685,NA
"MA866196938","PC",-0.597,0.153
"MA860528551","1PL",-0.208,NA
"MA884077097","PC",-0.377,0.105
"MA833843439","1PL",-0.011,NA
"MA874958927","1PL",-0.006,NA
"MA812268356","1PL",0.139,NA
"MA889554785","1PL",0.168,NA
"MA821322509","1PL",0.251,NA
"MA818679457","1PL",0.442,NA
"MA821323294","1PL",0.571,NA
"MA884446017","1PL",0.745,NA
"MA878180786","1PL",0.989,NA
"MA897979465","1PL",1.116,NA
"MA857566660","PC",1.127,1.445
"MA820127148","1PL",1.288,NA
"MA84027759","1PL",1.644,NA
"MA891649469","1PL",1.734,NA
"MA818644134","PC",1.36,2.276
"MA823604102","1PL",1.828,NA
"MA875232919","1PL",2.051,NA
"MA811919633","1PL",2.168,NA
"MA848023052","1PL",2.416,NA
"MA884554979","1PL",2.451,NA
"MA834542509","1PL",2.68,NA
"MA817142101","1PL",2.969,NA
"MA888434687","PC",2.85,3.564
"MA883571205","1PL",4.092,NA
"MA846205034","1PL",1.755,NA
"MA834720464","1PL",1.576,NA
"MA87582191","1PL",0.346,NA
"MA885132658","1PL",1.102,NA
"MA864513486","1PL",2.072,NA
"MA881017094","1PL",-0.005,NA
"MA843070710","1PL",-0.898,NA
"MA897082614","1PL",1.757,NA
"MA825622714","1PL",1.189,NA
"MA854506488","1PL",4.164,NA
"MA886658692","1PL",1.081,NA
"MA896435781","1PL",1.1,NA
"MA894644469","1PL",0.784,NA
"MA847080766","1PL",2.556,NA
"MA892494517","1PL",2.936,NA
"MA844401661","1PL",1.297,NA
"MA836900591","1PL",2.204,NA
"MA850729263","1PL",1.02,NA
"MA855122075","PC",1.693,2.497
"MA841724601","PC",-0.593,0.137
"MA857259344","PC",-0.76,-0.176
"MA836695523","PC",1.869,2.507
"MA863693564","PC",1.692,2.104
"MA859205375","PC",-0.597,-0.321
"MA869825635","1PL",-0.21,NA
"MA837112309","1PL",-0.081,NA
"MA880572174","1PL",0.024,NA
"MA854025904","1PL",0.277,NA
"MA862603049","1PL",0.604,NA
"MA828560056","PC",0.309,1.279
"MA877249969","1PL",0.914,NA
"MA837320218","1PL",1.475,NA
"MA885579061","PC",1.349,1.723
"MA880418211","1PL",1.56,NA
"MA813068676","1PL",1.75,NA
"MA841475295","1PL",1.801,NA
"MA819656942","1PL",2.235,NA
"MA847308643","1PL",2.24,NA
"MA859561026","1PL",2.54,NA
"MA831211911","PC",2.298,3.062
"MA820579838","1PL",3.161,NA
"MA836648837","1PL",0.168,NA
"MA89783074","1PL",0.615,NA
"MA813340358","1PL",0.534,NA
"MA841219886","1PL",1.119,NA
"MA871541845","1PL",3.73,NA
"MA825193074","1PL",2.762,NA
"MA87173309","1PL",0.696,NA
"MA844913568","1PL",1.783,NA
"MA839550649","1PL",0.456,NA
"MA895462935","1PL",2.145,NA
"MA829068764","1PL",0.635,NA
"MA837395765","1PL",2.239,NA
"MA832189528","1PL",1.364,NA
"MA88120299","1PL",2.724,NA
"MA831446952","PC",-1.405,-0.845
"MA893595382","PC",0.737,1.069
"MA891096009","PC",1.771,2.519
"MA818681169","PC",-0.572,0.3
"MA813496033","1PL",-0.978,NA
"MA83978496","1PL",-0.285,NA
"MA859119878","1PL",0.319,NA
"MA890591861","1PL",0.499,NA
"MA894616560","1PL",0.728,NA
"MA831160132","PC",0.545,1.385
"MA871812462","1PL",1.374,NA
"MA817331517","1PL",1.52,NA
"MA855753819","1PL",1.762,NA
"MA830866499","PC",1.48,2.054
"MA870315798","1PL",1.8,NA
"MA865254729","1PL",1.893,NA
"MA871276321","PC",1.826,2.354
"MA890450580","PC",1.982,2.262
"MA896796001","1PL",2.224,NA
"MA859483367","1PL",2.25,NA
"MA852033672","1PL",2.815,NA
"MA868436231","1PL",3.178,NA
"MA821260027","1PL",-0.859,NA
"MA896217260","PC",-0.582,-0.18
"MA859424281","1PL",0.007,NA
"MA841061959","1PL",0.103,NA
"MA888283968","PC",0.538,0.762
"MA8917636","1PL",0.674,NA
"MA826649073","1PL",1.036,NA
"MA818275951","PC",0.932,1.206
"MA889383128","1PL",1.11,NA
"MA831516410","1PL",1.199,NA
"MA853201778","1PL",1.634,NA
"MA84012203","1PL",1.76,NA
"MA834361559","1PL",1.883,NA
"MA858421915","1PL",2.013,NA
"MA846232046","1PL",2.154,NA
"MA872793128","1PL",2.186,NA
"MA852478334","1PL",2.215,NA
"MA837662993","PC",3.242,4.14
"MA877681058","PC",-0.533,-0.323
"MA874138210","1PL",-0.31,NA
"MA835387688","PC",0.1,0.582
"MA813348627","1PL",0.701,NA
"MA892014300","1PL",0.78,NA
"MA881345148","1PL",0.919,NA
"MA85968747","1PL",1.051,NA
"MA823222473","PC",0.634,1.534
"MA891431189","1PL",1.277,NA
"MA868741234","PC",1.325,1.561
"MA897224913","1PL",1.528,NA
"MA834467093","1PL",1.604,NA
"MA814002046","1PL",1.925,NA
"MA811407208","1PL",2.048,NA
"MA818485897","1PL",2.072,NA
"MA839773883","1PL",2.082,NA
"MA821813221","1PL",2.18,NA
"MA853369387","1PL",2.241,NA
"MA849931300","1PL",2.29,NA
"MA836467213","1PL",4.805,NA
"MA858972435","1PL",-0.374,NA
"MA815034339","1PL",0.072,NA
"MA880535226","PC",-0.155,0.573
"MA865372349","1PL",0.324,NA
"MA8425512","PC",0.139,0.707
"MA855871413","1PL",0.72,NA
"MA893593790","1PL",0.924,NA
"MA828222363","PC",0.558,1.296
"MA824791356","PC",0.823,1.047
"MA879440312","1PL",1.001,NA
"MA844523109","1PL",1.062,NA
"MA861227182","1PL",1.195,NA
"MA880299598","1PL",1.548,NA
